,openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,_
103,1670031900000,17041.65000000,17056.25000000,17040.01000000,17051.11000000,1578.32687000,1670032799999,26908486.53325460,32327,802.38365000,13679823.61078940,0
104,1670032800000,17051.11000000,17058.95000000,17012.65000000,17017.34000000,1982.56845000,1670033699999,33767797.94301240,44116,882.29143000,15027688.16296010,0
105,1670033700000,17018.16000000,17033.62000000,17013.56000000,17019.90000000,1551.15281000,1670034599999,26405101.63281980,36274,822.31826000,13998428.33174620,0
106,1670034600000,17019.90000000,17029.72000000,17016.91000000,17025.97000000,1192.26690000,1670035499999,20296759.62508450,29294,610.03105000,10385120.54094200,0
107,1670035500000,17025.97000000,17030.00000000,17020.00000000,17028.46000000,1032.12853000,1670036399999,17571798.95106600,25649,515.24558000,8772171.94687930,0
108,1670036400000,17028.46000000,17032.52000000,17023.00000000,17024.06000000,1287.30791000,1670037299999,21919123.47097320,30000,617.04711000,10506796.29161960,0
109,1670037300000,17024.73000000,17029.37000000,17011.00000000,17025.06000000,1952.54468000,1670038199999,33234779.32625270,37583,859.35672000,14627739.90747120,0
110,1670038200000,17025.06000000,17029.34000000,17014.13000000,17015.66000000,1074.07657000,1670039099999,18281281.26436490,29784,501.22179000,8531268.08162110,0
111,1670039100000,17015.66000000,17022.59000000,17011.00000000,17020.89000000,1247.10178000,1670039999999,21223961.52736980,27227,652.02762000,11096963.07821510,0
112,1670040000000,17021.16000000,17026.46000000,17011.29000000,17024.71000000,1309.14175000,1670040899999,22280785.45200630,29300,668.34582000,11375132.28897770,0
113,1670040900000,17024.25000000,17035.38000000,17022.04000000,17032.84000000,1671.78236000,1670041799999,28469612.14836030,36883,886.37171000,15094796.09495360,0
114,1670041800000,17032.65000000,17036.24000000,17009.74000000,17013.18000000,1471.42743000,1670042699999,25044743.51464750,31939,670.74175000,11417051.88438710,0
115,1670042700000,17013.18000000,17020.50000000,17008.41000000,17015.45000000,1261.39813000,1670043599999,21461901.44179370,27376,627.48091000,10676276.17816600,0
116,1670043600000,17015.45000000,17022.09000000,17013.31000000,17016.86000000,1062.57960000,1670044499999,18082624.60911630,25257,538.22876000,9159624.40927800,0
117,1670044500000,17016.86000000,17025.87000000,17011.50000000,17017.86000000,1294.05723000,1670045399999,22023241.26696070,28941,658.80147000,11212246.80638700,0
118,1670045400000,17017.86000000,17026.47000000,17011.14000000,17023.68000000,1269.44257000,1670046299999,21604867.36485720,29871,656.76720000,11177796.96855650,0
119,1670046300000,17023.68000000,17025.76000000,17011.00000000,17016.31000000,1102.14768000,1670047199999,18755291.95211010,29098,521.75191000,8878748.10637680,0
120,1670047200000,17016.31000000,17018.49000000,16944.02000000,16956.55000000,3874.86460000,1670048099999,65789117.91935820,71533,1820.38339000,30907170.29035360,0
121,1670048100000,16956.55000000,16993.61000000,16943.73000000,16983.40000000,2119.29763000,1670048999999,35964472.83895320,49204,1128.91291000,19159390.08571110,0
122,1670049000000,16983.91000000,16986.00000000,16964.88000000,16965.27000000,1438.22390000,1670049899999,24413416.87753010,37749,666.28482000,11310039.75196550,0
123,1670049900000,16965.27000000,16983.85000000,16964.46000000,16976.72000000,960.64284000,1670050799999,16305790.52123810,28011,495.89988000,8417359.41678380,0
124,1670050800000,16976.11000000,16984.33000000,16970.00000000,16974.21000000,1144.17484000,1670051699999,19424297.46687970,30736,537.23257000,9120613.80144280,0
125,1670051700000,16974.21000000,16980.69000000,16933.05000000,16937.41000000,2502.17971000,1670052599999,42431349.21563950,56816,1098.03146000,18619697.57971730,0
126,1670052600000,16937.41000000,16963.41000000,16925.55000000,16958.89000000,1954.92548000,1670053499999,33122114.30542130,54495,970.76571000,16448207.60179950,0
127,1670053500000,16959.35000000,16972.56000000,16955.06000000,16964.51000000,1384.13894000,1670054399999,23481853.96040860,36501,716.21629000,12150801.68008220,0
128,1670054400000,16964.51000000,16967.38000000,16945.02000000,16958.39000000,1561.75061000,1670055299999,26488106.01542640,38758,731.17669000,12401450.50929540,0
129,1670055300000,16957.64000000,16967.34000000,16949.93000000,16962.16000000,1231.09835000,1670056199999,20877698.77913380,29865,562.86841000,9545785.27635120,0
130,1670056200000,16961.96000000,16963.37000000,16938.28000000,16945.85000000,1662.05807000,1670057099999,28170438.91459500,39628,822.91259000,13947682.35316240,0
131,1670057100000,16945.16000000,16956.60000000,16918.00000000,16947.09000000,2799.33839000,1670057999999,47429724.17158980,60022,1374.00953000,23280853.29742550,0
132,1670058000000,16947.09000000,16971.29000000,16929.81000000,16963.67000000,2223.58976000,1670058899999,37701600.29550910,54317,1155.12458000,19586353.38025170,0
133,1670058900000,16963.67000000,16970.57000000,16955.30000000,16969.17000000,1296.42621000,1670059799999,21989623.77604100,35341,676.37957000,11472910.41945020,0
