openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,_
1632096000000,2.28300000,2.45900000,1.91010000,2.20700000,2304024890.03000000,1632700799999,5041126392.34289500,6440838,1121754090.51000000,2457048031.12033900,0
1632700800000,2.20600000,2.32200000,2.02000000,2.25100000,1045428824.70000000,1633305599999,2274331103.84110000,2847208,512923435.30000000,1116554750.71660000,0
1633305600000,2.25100000,2.37500000,2.11100000,2.18900000,1086043786.30000000,1633910399999,2429376648.21350000,3301686,528221852.90000000,1182243966.54860000,0
1633910400000,2.18900000,2.25000000,2.07100000,2.15800000,936331506.90000000,1634515199999,2031169530.04020000,2608809,456680817.90000000,990950506.95290000,0
1634515200000,2.15800000,2.29800000,2.09200000,2.12000000,895213731.90000000,1635119999999,1941278863.10260000,2742819,435298077.70000000,944182986.64750000,0
1635120000000,2.11900000,2.20200000,1.80400000,1.96400000,1324710688.20000000,1635724799999,2669404817.69741800,3754096,642182327.70000000,1294373848.40454000,0
1635724800000,1.96500000,2.14400000,1.91100000,2.02100000,1074734044.20000000,1636329599999,2161889974.04140000,3662812,529980369.50000000,1066320514.93130000,0
1636329600000,2.02000000,2.37800000,1.93200000,2.04000000,1704681819.40000000,1636934399999,3687193543.43940000,5727820,840451645.40000000,1819157980.00160000,0
1636934400000,2.04000000,2.09500000,1.70100000,1.83500000,1152254454.99000000,1637539199999,2161027037.76636600,3576966,564634338.07000000,1059621572.46399500,0
1637539200000,1.83500000,1.83900000,1.41600000,1.59400000,1468440478.25000000,1638143999999,2401713904.74615400,3244170,721395696.59000000,1180863489.33983000,0
1638144000000,1.59500000,1.76000000,1.18800000,1.37800000,2098193664.94000000,1638748799999,3175044352.25721800,4309586,1032846259.22000000,1562777797.53740500,0
1638748800000,1.37800000,1.47900000,1.19200000,1.34600000,1451538155.20000000,1639353599999,1950615809.98000000,2463973,722539530.50000000,971076194.05900000,0
1639353600000,1.34500000,1.35700000,1.18200000,1.24300000,991153021.70000000,1639958399999,1246201134.16138600,1969521,485221043.80000000,610273584.72760000,0
1639958400000,1.24400000,1.49100000,1.20100000,1.45500000,941744085.90000000,1640563199999,1279171464.77960000,2160434,465536732.60000000,632510104.35430000,0
1640563200000,1.45500000,1.59400000,1.28100000,1.37700000,971041789.80000000,1641167999999,1373300380.73390000,2238472,476335411.90000000,673619096.85340000,0
